LATITUDE,LONGITUDE,EQ_MAGNITUDE,EQ_DEPTH,CAUSE,TS_INTENSITY
-9.0,-79.0,8.4,40.0,0,2.5
-12.3,-77.7,8.5,60.0,0,3.5
46.2,13.433,6.5,10.0,0,3.0
-17.88,-70.94,8.5,30.0,0,3.5
35.0,23.0,8.0,70.0,0,4.0
-13.5,-76.5,8.5,30.0,0,3.5
-11.996,-77.19800000000001,8.0,30.0,0,3.5
-3.75,127.75,6.8,40.0,0,1.5
-7.0,117.0,8.5,600.0,0,2.0
1.0,97.5,7.0,70.0,0,1.5
-8.0,115.5,7.0,50.0,0,2.0
-6.5,108.5,6.8,150.0,0,-1.5
1.5,98.0,7.3,70.0,0,2.0
5.5,96.0,7.3,100.0,0,0.5
52.0,158.0,8.4,30.0,0,3.0
-8.0,110.5,7.0,150.0,0,0.0
-2.5,100.5,8.3,75.0,0,2.5
-5.25,129.75,8.3,100.0,0,2.5
38.5,144.0,8.3,33.0,0,2.0
0.009,98.0,7.0,20.0,0,2.0
-7.0,119.0,7.5,80.0,0,3.5
-8.0,115.0,7.0,150.0,1,1.5
-1.0,97.5,8.5,70.0,0,3.0
-18.6,-71.0,8.5,25.0,0,3.5
60.5,-149.0,6.9,60.0,1,0.5
59.5,-135.5,5.5,33.0,1,0.0
-6.8,120.8,5.5,15.0,0,1.0
38.5,20.7,6.7,14.0,0,3.0
-3.0,127.75,7.0,70.0,0,-1.0
9.0,125.5,6.2,60.0,0,1.0
18.0,119.5,6.4,33.0,0,0.5
1.0,126.25,8.0,70.0,0,2.5
-38.0,-73.5,7.0,15.0,0,1.0
23.2,121.6,5.8,33.0,0,-0.5
-41.8,171.5,6.8,33.0,0,0.5
7.0,138.0,6.9,33.0,0,0.0
40.5,142.0,6.6,100.0,0,0.0
19.0,-155.0,6.8,33.0,0,0.0
-2.0,100.0,7.5,130.0,0,1.0
3.0,122.0,7.3,500.0,0,2.0
-3.0,127.5,6.5,33.0,0,0.0
-3.0,127.25,6.8,50.0,0,-1.0
9.0,123.25,6.0,33.0,0,0.5
-4.806,153.859,8.2,35.0,0,1.0
-18.352,-172.515,8.1,25.0,0,1.5
-26.0,-71.0,7.8,33.0,0,2.5
44.5,151.5,7.8,33.0,0,2.0
23.5,117.2,7.5,33.0,1,-1.0
-29.0,-177.5,7.5,60.0,0,1.0
-29.2,-177.0,8.0,60.0,0,3.0
-4.739,152.548,7.9,35.0,0,2.0
38.3,142.9,7.8,60.0,0,0.5
14.0,-89.0,7.9,80.0,0,0.5
38.8,20.6,6.3,30.0,1,4.0
31.58,130.67,7.1,33.0,4,-1.0
28.0,130.0,8.0,160.0,0,1.5
-2.0,101.0,7.6,40.0,0,1.0
-7.0,149.0,8.0,33.0,0,1.5
-33.0,-72.0,8.2,25.0,0,2.0
37.7,-122.5,7.9,33.0,1,-4.0
52.0,159.0,8.3,30.0,0,2.0
40.6,142.3,7.4,33.0,0,-1.0
40.5,142.5,7.2,33.0,0,-0.5
28.0,130.3,7.5,33.0,0,-1.5
60.0,-140.0,8.2,25.0,1,3.0
16.0,121.85,7.5,100.0,1,0.0
34.9,132.0,7.4,33.0,0,1.0
45.5,151.5,8.2,33.0,0,3.0
5.5,123.0,8.3,33.0,0,2.5
-15.5,-173.0,8.3,25.0,0,3.0
-1.829,136.94299999999998,8.1,15.0,0,2.0
6.0,122.0,8.7,33.0,0,2.5
10.0,-79.0,7.9,40.0,1,1.0
2.0,94.5,7.6,50.0,0,2.0
1.0,-81.5,8.8,25.0,0,3.0
38.17,15.58,7.0,40.0,1,5.0
49.12,154.50799999999998,6.0,33.0,3,2.0
17.0,121.5,6.4,80.0,0,-4.0
37.0,141.7,7.1,20.0,0,-0.5
40.9,142.1,7.3,20.0,0,-1.5
-21.7,-69.5,7.5,33.0,0,0.0
40.0,143.2,7.0,40.0,0,-2.0
-15.9,166.8,7.3,33.0,0,1.0
47.159,153.876,6.8,15.0,0,-2.0
42.2,143.9,7.0,60.0,0,-3.5
40.3,142.5,6.7,30.0,0,-3.0
37.5,143.2,6.7,10.0,0,-4.0
41.2,143.3,7.1,20.0,0,-0.5
9.3,122.7,6.8,33.0,0,0.5
40.3,139.0,6.9,30.0,0,0.0
43.586000000000006,146.701,7.3,40.0,0,-1.0
-10.6,-79.8,7.0,40.0,0,-1.5
-15.8,167.2,7.0,13.0,0,2.5
53.03,-167.55,6.5,40.0,0,-2.0
40.4,138.9,6.3,40.0,0,-3.0
-6.4,105.4,6.6,64.0,0,0.0
44.426,149.27200000000002,7.1,48.0,0,-2.0
41.8,142.4,5.7,60.0,0,-2.0
38.073,142.741,7.2,25.0,0,-2.0
